,model_vars,headCircParam,midCircParam,tailCircParam
1,Int_est,-1.088738535,-0.619711636,-0.526805158
2,Int_p,0.019397102,0.215331991,0.34489313
3,slope_est,1.266808939,1.080867899,0.938143464
4,slope_p,9.98E-05,0.001276959,0.006902624
5,lambda_est,1,1,1
6,lambda_ci_low,0.279353511,0.394690405,NA
7,lambda_ci_high,NA,NA,NA
8,adj_rsq,0.773625395,0.628532525,0.487950124
