"","row_vars","headAparam","midAparam","tailAparam"
"1","Int_est",-3.30618608047817,-2.41669304153478,-1.24647524100226
"2","Int_p",0.00193516364286639,0.0269053842782021,0.396970912838651
"3","slope_est",2.54640418861294,2.19921792095187,1.37385246379405
"4","slope_p",0.000107435462832317,0.00109885847791791,0.0906917102778182
"5","lambda_est",1,1,1
"6","lambda_ci_low",0.277712040783822,0.369896243846146,NA
"7","lambda_ci_high",NA,NA,NA
"8","adj_rsq",0.770352652547148,0.639117450310536,0.185476337450511
